timestamp,open,high,low,close,volume,sma_5,sma_10,sma_15,return,rsi_14,bb_middle,bb_upper,bb_lower,bb_width,macd,momentum,target
2025-07-07 03:00:00,109364.52,109700.0,109364.52,109389.46,103.19659668,109160.00600000001,108990.491,108952.55600000001,0.0002280447077351866,67.93088850420745,108722.177,109659.01836685142,107785.33563314857,1873.6827337028517,286.1235871745739,0.14715909881577413,0
2025-07-07 04:00:00,109389.46,109447.54,109128.71,109128.72,73.21543528,109144.98000000001,109056.96399999999,108976.60133333334,-0.0023835934467544284,59.892904955663354,108778.35,109670.15242661705,107886.54757338297,1783.6048532340792,275.71748647408094,-0.06879794073194732,0
2025-07-07 05:00:00,109128.72,109201.65,109035.21,109079.99,83.15667339,109196.36200000001,109111.11800000002,108986.384,-0.0004465368969781558,58.49972544293294,108839.84950000001,109631.05959064538,108048.63940935464,1582.4201812907413,260.5351855096087,0.23608043440785123,0
2025-07-07 06:00:00,109079.99,109174.87,108769.22,108774.49,131.42050473,109147.43600000002,109122.02000000002,108977.61733333333,-0.0028006969930964853,50.559482222386265,108879.02750000001,109569.3862865415,108188.66871345852,1380.7175730829767,221.30078805300582,-0.22439183145120792,1
2025-07-07 07:00:00,108774.49,109061.08,108660.0,109061.07,110.06974974,109086.746,109107.302,108991.22666666667,0.0026346250853486186,56.521265927317174,108928.2805,109515.2662710533,108341.29472894668,1173.9715421066212,210.90072408497508,-0.2774665860555115,0
2025-07-07 08:00:00,109061.07,109087.86,108860.5,109011.7,83.88445083,109011.19399999999,109085.6,108997.392,-0.00045268215321936367,55.28446932716897,108967.2155,109460.36590948889,108474.06509051113,986.3008189777611,196.410751185962,-0.34533491617931866,0
2025-07-07 09:00:00,109011.7,109011.71,108761.13,108849.05,96.98375277,108955.26000000001,109050.12,109023.06266666668,-0.0014920416799296676,51.30162656603851,108971.26599999999,109459.10833241492,108483.42366758506,975.684664829867,169.844980382637,-0.256275341633255,0
2025-07-07 10:00:00,108849.05,108899.31,108660.14,108664.15,430.45935693,108872.09199999999,109034.227,109031.44266666665,-0.0016986827170288876,47.14366135454883,108957.81100000002,109463.61827301618,108452.00372698385,1011.6145460323314,132.34592940700531,-0.38122482409469516,0
2025-07-07 11:00:00,108664.15,108801.0,108572.52,108642.02,153.9135737,108845.598,108996.51700000002,109029.87933333333,-0.0002036550232987766,46.656257675152744,108944.6125,109468.58950689538,108420.63549310462,1047.9540137907607,99.6927592191787,-0.12178406904045347,0
2025-07-07 12:00:00,108642.02,108642.02,108303.83,108346.85,417.00427654,108702.754,108894.75,108972.45266666666,-0.0027169045641823875,40.62347052516523,108919.1085,109503.81051368821,108334.4064863118,1169.4040273764112,49.4273665168148,-0.6548807929355553,1
